ZIP,Dependents,AGI,NumReturns,AvgAGI
12028,310,"29,666",600," 49,443 "
12029,220,"37,917",510," 74,347 "
12031,60,"4,096",110," 37,236 "
12032,210,"26,005",480," 54,177 "
12033,"2,070","268,607","4,090"," 65,674 "
12035,210,"18,070",410," 44,073 "
12037,860,"94,941","1,730"," 54,879 "
12041,140,"15,205",290," 52,431 "
12042,120,"11,322",220," 51,464 "
12043,"1,600","157,310","3,080"," 51,075 "
12046,170,"20,550",320," 64,219 "
12047,"4,910","521,406","9,980"," 52,245 "
12051,950,"95,477","1,780"," 53,639 "
12052,370,"40,737",720," 56,579 "
12053,"1,160","138,655","2,130"," 65,096 "
12054,"4,980","806,161","8,840"," 91,195 "
12056,560,"83,365","1,180"," 70,648 "
12057,450,"33,060",760," 43,500 "
12058,370,"32,553",650," 50,082 "
12059,350,"49,290",830," 59,386 "
12060,320,"47,330",680," 69,603 "
12061,"2,490","379,770","4,920"," 77,189 "
12062,400,"45,885",840," 54,625 "
12063,150,"19,971",290," 68,866 "
12064,140,"7,814",220," 35,518 "
12065,"12,140","1,711,930","22,140"," 77,323 "
12066,500,"54,534",980," 55,647 "
12067,360,"50,324",780," 64,518 "
12068,860,"64,130","1,380"," 46,471 "
12070,350,"39,666",640," 61,978 "
12071,80,"5,398",120," 44,983 "
12072,790,"58,641","1,180"," 49,696 "
12074,710,"89,125","1,490"," 59,815 "
12075,800,"98,638","1,480"," 66,647 "
12076,300,"26,352",560," 47,057 "
12077,"1,870","275,415","3,220"," 85,533 "
12078,"6,010","404,881","9,950"," 40,692 "
12083,940,"99,638","1,870"," 53,282 "
12084,"1,080","172,445","2,300"," 74,976 "
12085,100,"9,338",220," 42,445 "
12086,380,"51,131",960," 53,261 "
12087,320,"32,563",590," 55,192 "
12090,"1,590","127,997","2,640"," 48,484 "
12092,300,"25,773",520," 49,563 "
12093,410,"31,632",700," 45,189 "
12094,620,"58,072","1,080"," 53,770 "
12095,"2,960","251,635","5,600"," 44,935 "
12106,590,"91,999","1,350"," 68,147 "
12108,80,"12,444",230," 54,104 "
12110,"4,990","698,459","10,250"," 68,142 "
12116,400,"35,646",800," 44,558 "
12117,760,"72,132","1,540"," 46,839 "
12118,"4,040","469,688","7,520"," 62,459 "
12120,140,"14,577",270," 53,989 "
12121,470,"59,819",930," 64,322 "
12122,930,"85,157","1,860"," 45,783 "
12123,"1,280","152,577","2,570"," 59,368 "
12125,320,"40,269",740," 54,418 "
12130,270,"26,897",550," 48,904 "
12131,50,"4,559",100," 45,590 "
