Zip,Count,AGI,TotInc
12204,"3,750"," 67,522 "," 68,587 "
12205,"14,790"," 52,759 "," 53,287 "
12206,"6,950"," 31,890 "," 32,268 "
12207,670," 30,360 "," 30,743 "
12208,"9,930"," 56,337 "," 57,130 "
12209,"5,170"," 42,851 "," 43,238 "
12210,"4,890"," 37,987 "," 38,571 "
12211,"6,060"," 120,564 "," 122,780 "
12302,"14,120"," 62,625 "," 63,380 "
12303,"14,860"," 58,017 "," 58,795 "
12304,"10,280"," 40,664 "," 41,004 "
12305,"1,870"," 33,581 "," 34,112 "
12306,"13,490"," 52,357 "," 52,875 "
12307,"2,800"," 20,335 "," 20,466 "
12308,"6,200"," 40,679 "," 41,186 "
12309,"15,110"," 91,534 "," 93,006 "
12401,"15,990"," 48,527 "," 49,247 "
12404,"1,600"," 60,072 "," 61,634 "
12405,290," 46,669 "," 47,976 "
12406,310," 39,026 "," 39,581 "
12407,110," 38,700 "," 39,264 "
12409,480," 78,627 "," 81,792 "
12410,160," 63,163 "," 64,819 "
12411,230," 50,191 "," 50,735 "
12412,340," 49,329 "," 50,600 "
12413,"1,350"," 41,840 "," 42,293 "
12414,"4,590"," 47,167 "," 47,738 "
12418,260," 60,454 "," 61,638 "
12419,360," 63,747 "," 65,275 "
12421,160," 67,225 "," 68,519 "
12422,150," 45,553 "," 46,060 "
12423,480," 45,513 "," 45,900 "
12424,110," 53,536 "," 54,300 "
12427,220," 41,736 "," 42,055 "
12428,"2,560"," 41,138 "," 41,541 "
12430,450," 43,969 "," 44,900 "
12431,730," 49,625 "," 50,166 "
12433,200," 72,940 "," 74,965 "
12434,340," 34,638 "," 35,124 "
12435,180," 44,333 "," 45,039 "
12439,180," 46,267 "," 46,967 "
12440,980," 60,623 "," 61,652 "
12442,470," 50,717 "," 51,847 "
